"row ID","Date","Match Time(s)","Map","Team A Rounds","Team B Rounds","Kills","Assists","Deaths","Mvp's","Points","Result"
"Row227","19/11/2017",2464,"Dust II",16,10,24,5,20,5,62,"Lost"
"Row228","18/11/2017",3214,"Mirage",16,13,22,7,20,5,61,"Win"
"Row229","18/11/2017",2703,"Dust II",14,16,23,7,19,2,58,"Lost"
"Row230","18/11/2017",2009,"Dust II",5,16,12,1,14,1,28,"Lost"
"Row231","17/11/2017",2382,"Cache",16,11,19,5,17,0,46,"Win"
"Row232","16/11/2017",2694,"Dust II",13,16,31,7,17,5,78,"Win"
"Row233","16/11/2017",1903,"Cache",16,6,8,1,12,1,17,"Lost"
"Row234","16/11/2017",2585,"Dust II",16,11,16,8,18,3,44,"Win"
"Row235","15/11/2017",2209,"Dust II",8,16,24,1,16,2,52,"Lost"
"Row236","15/11/2017",2723,"Mirage",16,10,26,2,20,3,72,"Lost"
"Row237","15/11/2017",2365,"Dust II",10,16,12,6,18,2,31,"Win"
"Row238","15/11/2017",2526,"Dust II",16,9,20,7,16,2,51,"Win"
"Row239","11/11/2017",2472,"Dust II",16,13,4,2,7,1,10,"Win"
"Row240","11/11/2017",1750,"Dust II",4,16,8,0,17,0,18,"Lost"
"Row241","11/11/2017",2800,"Dust II",11,16,16,6,22,3,48,"Win"
"Row242","11/11/2017",2746,"Mirage",13,16,22,7,23,2,59,"Lost"
"Row243","10/11/2017",2306,"Mirage",16,9,4,5,21,0,19,"Lost"
"Row244","10/11/2017",1923,"Dust II",5,16,19,4,13,5,52,"Win"
"Row245","10/11/2017",2564,"Dust II",11,16,17,2,20,3,48,"Lost"
"Row246","10/11/2017",2112,"Dust II",9,16,11,2,18,2,26,"Lost"
"Row247","8/11/2017",2309,"Dust II",16,9,14,7,18,3,45,"Win"
"Row248","6/11/2017",3018,"Mirage",16,13,16,4,25,4,50,"Lost"
"Row249","6/11/2017",2562,"Dust II",10,16,5,3,24,0,13,"Lost"
"Row250","4/11/2017",2823,"Dust II",13,16,9,5,20,2,29,"Lost"
"Row251","31/10/2017",2836,"Dust II",16,10,11,5,21,2,34,"Lost"
"Row252","29/10/2017",2793,"Dust II",16,14,15,3,18,3,46,"Win"
"Row253","29/10/2017",2244,"Dust II",16,11,15,3,17,1,36,"Win"
"Row254","29/10/2017",2716,"Mirage",16,10,16,1,15,3,45,"Win"
"Row255","28/10/2017",2584,"Mirage",10,16,12,8,20,2,38,"Lost"
"Row256","28/10/2017",3064,"Dust II",14,16,17,2,20,3,52,"Win"
"Row257","26/10/2017",2239,"Mirage",6,16,15,2,11,2,38,"Win"
"Row258","26/10/2017",2863,"Mirage",16,11,20,3,18,2,47,"Lost"
"Row259","26/10/2017",1749,"Dust II",2,16,4,2,16,0,10,"Lost"
"Row260","25/10/2017",2147,"Dust II",16,8,18,3,12,4,45,"Win"
"Row261","25/10/2017",2484,"Dust II",12,16,13,1,15,3,31,"Lost"
"Row262","23/10/2017",1736,"Mirage",16,4,18,0,8,2,36,"Win"
"Row263","23/10/2017",2819,"Dust II",16,12,15,3,21,3,39,"Lost"
"Row264","22/10/2017",2938,"Dust II",15,15,4,2,22,2,17,"Tie"
"Row265","21/10/2017",2813,"Dust II",16,13,23,7,21,5,67,"Lost"
"Row266","21/10/2017",2487,"Dust II",9,16,9,1,23,0,23,"Lost"
"Row267","20/10/2017",2777,"Dust II",11,16,17,1,15,0,37,"Lost"
"Row268","20/10/2017",2745,"Dust II",16,14,11,6,22,1,35,"Lost"
"Row269","20/10/2017",1785,"Dust II",4,16,7,3,17,0,22,"Lost"
"Row270","20/10/2017",2543,"Mirage",7,16,18,5,12,3,58,"Win"
"Row271","20/10/2017",2236,"Dust II",9,16,12,5,21,0,36,"Lost"
"Row272","19/10/2017",1739,"Dust II",5,16,12,7,13,2,33,"Win"
"Row273","19/10/2017",2238,"Dust II",16,10,18,2,20,2,42,"Lost"
"Row274","19/10/2017",2761,"Dust II",16,14,20,5,22,3,55,"Lost"
"Row275","19/10/2017",2843,"Dust II",16,13,21,3,21,2,51,"Lost"
"Row276","19/10/2017",1936,"Dust II",16,6,7,1,13,1,19,"Win"
"Row277","18/10/2017",2262,"Dust II",16,9,19,4,15,1,48,"Win"
"Row278","17/10/2017",2505,"Dust II",12,16,19,4,21,3,49,"Lost"
"Row279","17/10/2017",1906,"Dust II",7,16,19,6,14,4,55,"Win"
"Row280","17/10/2017",2225,"Dust II",16,8,15,9,21,1,44,"Lost"
"Row281","16/10/2017",2288,"Dust II",10,16,19,2,17,4,45,"Win"
"Row282","16/10/2017",2924,"Dust II",13,16,18,8,20,4,51,"Win"
"Row283","15/10/2017",2739,"Mirage",16,12,14,1,19,2,35,"Lost"
"Row284","15/10/2017",2378,"Mirage",16,10,12,6,21,2,38,"Lost"
"Row285","14/10/2017",1619,"Mirage",2,16,6,2,14,1,14,"Lost"
"Row286","13/10/2017",2220,"Dust II",16,10,12,3,14,3,34,"Win"
"Row287","13/10/2017",3060,"Dust II",15,15,20,4,22,2,48,"Tie"
"Row288","13/10/2017",2573,"Dust II",16,11,15,7,22,1,37,"Lost"
"Row289","12/10/2017",2240,"Dust II",9,16,21,3,11,7,58,"Win"
"Row290","5/10/2017",2922,"Dust II",15,15,5,2,10,0,13,"Tie"
"Row291","25/9/2017",2973,"Dust II",15,15,18,5,20,4,54,"Tie"
"Row292","22/9/2017",2447,"Dust II",10,16,22,4,20,3,51,"Lost"
"Row293","22/9/2017",1759,"Dust II",7,16,11,10,11,0,36,"Win"
"Row294","22/9/2017",3000,"Mirage",13,16,15,5,22,1,46,"Lost"
"Row295","22/9/2017",2443,"Mirage",9,16,18,4,19,4,51,"Lost"
"Row296","22/9/2017",2356,"Dust II",16,7,18,6,17,1,48,"Lost"
"Row297","22/9/2017",2448,"Dust II",16,13,21,10,20,3,58,"Win"
"Row298","21/9/2017",2694,"Dust II",16,12,18,2,21,2,44,"Lost"
"Row299","21/9/2017",2686,"Dust II",14,16,14,6,21,2,37,"Lost"
"Row300","21/9/2017",2005,"Mirage",16,7,13,4,17,1,36,"Win"
"Row301","21/9/2017",2464,"Dust II",10,16,17,5,18,4,43,"Win"
"Row302","20/9/2017",2198,"Dust II",16,8,22,4,11,4,61,"Win"
"Row303","20/9/2017",1887,"Dust II",6,16,5,2,17,0,16,"Lost"
"Row304","20/9/2017",2257,"Dust II",9,16,17,4,21,1,41,"Lost"
"Row305","19/9/2017",2051,"Dust II",16,10,6,4,19,1,19,"Lost"
"Row306","19/9/2017",2208,"Dust II",16,6,12,6,15,0,31,"Win"
"Row307","19/9/2017",1516,"Dust II",4,16,7,0,14,0,14,"Lost"
"Row308","19/9/2017",2595,"Dust II",16,12,12,7,18,0,37,"Win"
"Row309","19/9/2017",1665,"Inferno",1,16,7,6,9,2,27,"Win"
"Row310","19/9/2017",1695,"Dust II",2,16,14,3,6,2,38,"Win"
