"row ID","Map","Team A Rounds","Team B Rounds","Kills","Assists","Deaths","Mvp's","Points","Result"
"Row499","Dust II",10,16,16,2,14,0,46,"Win"
"Row500","Dust II",16,4,16,3,10,4,40,"Win"
"Row501","Cache",7,16,13,6,13,1,43,"Win"
"Row502","Cache",10,16,8,3,19,1,25,"Win"
"Row503","Dust II",16,5,17,2,17,2,44,"Lost"
"Row504","Dust II",7,16,11,5,21,0,33,"Lost"
"Row505","Dust II",16,8,6,5,18,0,20,"Lost"
"Row506","Dust II",16,9,11,2,14,1,33,"Win"
"Row507","Dust II",9,16,17,3,19,1,39,"Lost"
"Row508","Dust II",15,15,17,5,20,4,43,"Tie"
"Row509","Dust II",11,16,20,6,20,4,48,"Win"
"Row510","Dust II",10,16,13,1,22,0,28,"Lost"
"Row511","Dust II",15,15,23,3,21,2,59,"Tie"
"Row512","Dust II",10,16,13,2,16,3,42,"Win"
"Row513","Mirage",16,13,20,5,21,1,47,"Win"
"Row514","Dust II",15,15,21,2,18,2,53,"Tie"
"Row515","Dust II",16,13,13,3,21,2,36,"Win"
"Row516","Dust II",16,14,18,5,20,1,44,"Win"
"Row517","Dust II",16,10,12,4,19,0,32,"Lost"
"Row518","Dust II",14,16,18,8,21,2,49,"Win"
"Row519","Dust II",16,9,12,6,23,2,32,"Lost"
"Row520","Dust II",14,16,15,5,22,2,46,"Lost"
"Row521","Dust II",16,3,8,1,16,1,21,"Lost"
"Row522","Dust II",13,16,14,4,21,0,32,"Win"
"Row523","Dust II",16,8,13,3,15,1,37,"Win"
"Row524","Dust II",5,16,8,2,18,0,20,"Lost"
"Row525","Dust II",16,14,11,6,26,0,34,"Lost"
"Row526","Dust II",16,6,5,3,3,0,14,"Win"
"Row527","Dust II",14,16,13,4,20,1,35,"Lost"
"Row528","Dust II",16,12,15,1,15,1,38,"Win"
"Row529","Dust II",16,11,13,4,18,0,31,"Lost"
"Row530","Mirage",8,16,13,1,19,0,34,"Lost"
"Row531","Mirage",16,2,12,3,5,2,27,"Win"
"Row532","Dust II",16,14,20,4,23,2,49,"Lost"
"Row533","Dust II",3,16,15,5,7,4,45,"Win"
"Row534","Mirage",16,13,24,6,18,2,63,"Win"
"Row535","Dust II",16,12,1,1,8,0,3,"Win"
"Row536","Inferno",5,13,0,0,3,0,0,"Lost"
"Row537","Dust II",16,10,22,4,21,3,58,"Lost"
"Row538","Dust II",16,13,34,5,19,4,83,"Win"
"Row539","Dust II",16,6,13,0,21,1,30,"Lost"
"Row540","Dust II",15,15,24,4,22,2,64,"Tie"
"Row541","Dust II",16,13,20,7,21,2,56,"Win"
"Row542","Dust II",16,11,19,7,20,2,54,"Win"
"Row543","Mirage",10,16,18,6,19,1,47,"Lost"
